title,genres,year,clean_title,source
Maktub,"comedies, international movies",2018,maktub,Netflix
Pacificum: Return to the Ocean,"documentaries, international movies",2017,pacificum return to the ocean,Netflix
Set It Up,"comedies, romantic movies",2018,set it up,Netflix
Sunday's Illness,"dramas, independent movies, international movies",2017,sundays illness,Netflix
The last hour,"dramas, international movies",2017,the last hour,Netflix
True: Magical Friends,kids' tv,2018,true magical friends,Netflix
True: Wonderful Wishes,kids' tv,2018,true wonderful wishes,Netflix
Alex Strangelove,"comedies, dramas, independent movies",2018,alex strangelove,Netflix
Ali's Wedding,"comedies, independent movies, international movies",2018,alis wedding,Netflix
Franco Escamilla: Por la anécdota,stand-up comedy,2018,franco escamilla por la ancdota,Netflix
The Staircase,"crime tv shows, docuseries, tv mysteries",2018,the staircase,Netflix
The Night Shift,tv dramas,2017,the night shift,Netflix
Dinosaur King,"anime series, kids' tv",2008,dinosaur king,Netflix
B.A. Pass 2,"dramas, international movies",2017,ba pass 2,Netflix
Bad Genius,"dramas, international movies, thrillers",2017,bad genius,Netflix
November 13: Attack on Paris,"crime tv shows, docuseries, international tv shows",2018,november 13 attack on paris,Netflix
Outside In,"dramas, independent movies",2018,outside in,Netflix
Pedal the World,"documentaries, international movies, sports movies",2015,pedal the world,Netflix
Unbreakable Kimmy Schmidt,tv comedies,2019,unbreakable kimmy schmidt,Netflix
Arrested Development,tv comedies,2019,arrested development,Netflix
The Break with Michelle Wolf,"stand-up comedy & talk shows, tv comedies",2018,the break with michelle wolf,Netflix
Sara's Notebook,"dramas, international movies, thrillers",2018,saras notebook,Netflix
Something in the Rain,"international tv shows, korean tv shows, romantic tv shows",2018,something in the rain,Netflix
Fernando Sanjiao: Hombre,stand-up comedy,2018,fernando sanjiao hombre,Netflix
Ibiza,"comedies, romantic movies",2018,ibiza,Netflix
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,stand-up comedy,2018,steve martin and martin short an evening you will forget for the rest of your life,Netflix
Trollhunters,"kids' tv, tv action & adventure, tv sci-fi & fantasy",2018,trollhunters,Netflix
Mob Psycho 100,"international tv shows, tv action & adventure, tv comedies",2018,mob psycho 100,Netflix
Tig Notaro Happy To Be Here,stand-up comedy,2018,tig notaro happy to be here,Netflix
Catching Feelings,"comedies, international movies, romantic movies",2018,catching feelings,Netflix
Dance & Sing with True,kids' tv,2018,dance  sing with true,Netflix
Inspector Gadget,"crime tv shows, kids' tv, tv comedies",2017,inspector gadget,Netflix
Katt Williams: American Hustle (The Movie),stand-up comedy,2007,katt williams american hustle the movie,Netflix
Food on the Go,"documentaries, international movies",2017,food on the go,Netflix
Aiyaary,"action & adventure, dramas, international movies",2018,aiyaary,Netflix
Lupin the 3rd: The Castle of Cagliostro: Special Edition,"action & adventure, anime features, classic movies",1979,lupin the 3rd the castle of cagliostro special edition,Netflix
Saint Seiya: The Lost Canvas,"anime series, international tv shows",2009,saint seiya the lost canvas,Netflix
Ali Wong: Hard Knock Wife,stand-up comedy,2018,ali wong hard knock wife,Netflix
Spivak,"comedies, independent movies",2017,spivak,Netflix
Bill Nye Saves the World,stand-up comedy & talk shows,2018,bill nye saves the world,Netflix
Carlos Ballarta: Furia Ñera,stand-up comedy,2018,carlos ballarta furia era,Netflix
Evil Genius,"crime tv shows, docuseries, tv mysteries",2018,evil genius,Netflix
The Kissing Booth,"comedies, romantic movies",2018,the kissing booth,Netflix
The Who Was? Show,"kids' tv, tv comedies",2018,the who was show,Netflix
Hari Kondabolu: Warn Your Relatives,stand-up comedy,2018,hari kondabolu warn your relatives,Netflix
My Fuhrer,"comedies, international movies",2007,my fuhrer,Netflix
Family Blood,horror movies,2018,family blood,Netflix
Pup Star: World Tour,"children & family movies, comedies, music & musicals",2018,pup star world tour,Netflix
A Little Help with Carol Burnett,"stand-up comedy & talk shows, tv comedies",2018,a little help with carol burnett,Netflix
Anon,"dramas, sci-fi & fantasy, thrillers",2018,anon,Netflix
Dany Boon: Des Hauts De France,stand-up comedy,2018,dany boon des hauts de france,Netflix
End Game,documentaries,2018,end game,Netflix
Forgive Us Our Debts,"dramas, international movies",2018,forgive us our debts,Netflix
Kong: King of the Apes,kids' tv,2018,kong king of the apes,Netflix
Lo más sencillo es complicarlo todo,"comedies, international movies, romantic movies",2018,lo ms sencillo es complicarlo todo,Netflix
Manhunt,"action & adventure, international movies",2017,manhunt,Netflix
Thi Mai,"comedies, dramas, international movies",2017,thi mai,Netflix
Si saben cómo me pongo ¿pá qué me invitan?,"comedies, international movies",2018,si saben cmo me pongo p qu me invitan,Netflix
Jailbreak,"action & adventure, international movies",2017,jailbreak,Netflix
Ajji,"dramas, international movies",2017,ajji,Netflix
CIA: Comrade in America,"action & adventure, dramas, independent movies",2017,cia comrade in america,Netflix
Coffee for All,"documentaries, international movies",2017,coffee for all,Netflix
Darc,"action & adventure, independent movies",2018,darc,Netflix
Despido Procedente,"comedies, international movies",2017,despido procedente,Netflix
John Mulaney: Kid Gorgeous at Radio City,stand-up comedy,2018,john mulaney kid gorgeous at radio city,Netflix
My Perfect Romance,"comedies, international movies, romantic movies",2018,my perfect romance,Netflix
Pocoyo & Cars,movies,2015,pocoyo  cars,Netflix
Pocoyo & The Space Circus,movies,2008,pocoyo  the space circus,Netflix
Pocoyo Carnival,movies,2015,pocoyo carnival,Netflix
Pocoyo Halloween: Space Halloween,movies,2015,pocoyo halloween space halloween,Netflix
Pocoyo Halloween: Spooky Movies,movies,2014,pocoyo halloween spooky movies,Netflix
Pocoyo Special Sports,movies,2016,pocoyo special sports,Netflix
Simon,kids' tv,2016,simon,Netflix
Sometimes,"dramas, international movies",2016,sometimes,Netflix
Spiritual House,"international tv shows, stand-up comedy & talk shows",2017,spiritual house,Netflix
The Clapper,"comedies, dramas, independent movies",2017,the clapper,Netflix
Toc Toc,"comedies, international movies",2017,toc toc,Netflix
Black Crows,"international tv shows, tv dramas",2017,black crows,Netflix
Running Shaadi,"comedies, international movies, romantic movies",2017,running shaadi,Netflix
The Price of Success,"dramas, international movies",2017,the price of success,Netflix
Bobby Kennedy for President,docuseries,2018,bobby kennedy for president,Netflix
Candy Jar,"children & family movies, dramas, romantic movies",2018,candy jar,Netflix
Goodnight DJ 1,"international tv shows, tv dramas, tv horror",2016,goodnight dj 1,Netflix
Holy Goalie,"comedies, international movies, sports movies",2017,holy goalie,Netflix
Moving On,"international tv shows, tv dramas",2016,moving on,Netflix
The Rachel Divide,documentaries,2018,the rachel divide,Netflix
The Week Of,comedies,2018,the week of,Netflix
Trio and a Bed,"international tv shows, romantic tv shows, tv comedies",2016,trio and a bed,Netflix
Enissa Amani: Ehrenwort,stand-up comedy,2018,enissa amani ehrenwort,Netflix
Bill Nye: Science Guy,documentaries,2017,bill nye science guy,Netflix
Fishtronaut: The Movie,children & family movies,2018,fishtronaut the movie,Netflix
Psychokinesis,"action & adventure, comedies, international movies",2018,psychokinesis,Netflix
Kevin James: Never Don't Give Up,stand-up comedy,2018,kevin james never dont give up,Netflix
Dude,"comedies, dramas, independent movies",2018,dude,Netflix
Kodachrome,"comedies, dramas",2018,kodachrome,Netflix
Mercury 13,documentaries,2018,mercury 13,Netflix
All The Reasons To Forget,"comedies, dramas, international movies",2017,all the reasons to forget,Netflix
Charité,"international tv shows, tv dramas",2017,charit,Netflix
The Chalet,"crime tv shows, international tv shows, tv dramas",2018,the chalet,Netflix
The Honeymoon Stand Up Special,"stand-up comedy & talk shows, tv comedies",2018,the honeymoon stand up special,Netflix
Beyond Skyline,"action & adventure, sci-fi & fantasy",2017,beyond skyline,Netflix
Come Sunday,"dramas, faith & spirituality, independent movies",2018,come sunday,Netflix
I Am not an Easy Man,"comedies, international movies, romantic movies",2018,i am not an easy man,Netflix
The Magic School Bus Rides Again,kids' tv,2018,the magic school bus rides again,Netflix
Pickpockets,"dramas, independent movies, international movies",2017,pickpockets,Netflix
Greg Davies: You Magnificent Beast,stand-up comedy,2018,greg davies you magnificent beast,Netflix
AMO,"international tv shows, tv dramas",2017,amo,Netflix
6 Balloons,"dramas, independent movies",2018,6 balloons,Netflix
Amateur,"dramas, independent movies, sports movies",2018,amateur,Netflix
Orbiter 9,"dramas, international movies, sci-fi & fantasy",2017,orbiter 9,Netflix
"Ram Dass, Going Home","documentaries, faith & spirituality",2018,ram dass going home,Netflix
Seth Rogen's Hilarity for Charity,stand-up comedy,2018,seth rogens hilarity for charity,Netflix
Sun Dogs,"comedies, dramas, independent movies",2017,sun dogs,Netflix
Todo lo que sería Lucas Lauriente,stand-up comedy,2018,todo lo que sera lucas lauriente,Netflix
Troy,"british tv shows, international tv shows, romantic tv shows",2018,troy,Netflix
Wakfu,kids' tv,2017,wakfu,Netflix
Day of the Dead: Bloodline,"horror movies, independent movies",2018,day of the dead bloodline,Netflix
Fary Is the New Black,stand-up comedy,2018,fary is the new black,Netflix
Ittefaq,"dramas, international movies, thrillers",2017,ittefaq,Netflix
Star Trek: The Next Generation,"tv action & adventure, tv sci-fi & fantasy",1993,star trek the next generation,Netflix
A Sort of Family,"dramas, international movies, thrillers",2017,a sort of family,Netflix
Billu,"dramas, international movies",2009,billu,Netflix
Fallet,"crime tv shows, international tv shows, tv comedies",2017,fallet,Netflix
John Mulaney: New in Town,stand-up comedy,2012,john mulaney new in town,Netflix
Loaded,"british tv shows, international tv shows, tv comedies",2017,loaded,Netflix
Main Hoon Na,"action & adventure, comedies, dramas",2004,main hoon na,Netflix
Metro,"dramas, international movies, thrillers",2016,metro,Netflix
Om Shanti Om,"comedies, dramas, international movies",2007,om shanti om,Netflix
Paheli,"dramas, international movies, romantic movies",2005,paheli,Netflix
Phir Bhi Dil Hai Hindustani,"comedies, dramas, international movies",2000,phir bhi dil hai hindustani,Netflix
Doctor Foster,"british tv shows, international tv shows, romantic tv shows",2017,doctor foster,Netflix
Revolt,"action & adventure, sci-fi & fantasy",2017,revolt,Netflix
First Match,"dramas, independent movies, sports movies",2018,first match,Netflix
Happy Anniversary,"comedies, romantic movies",2018,happy anniversary,Netflix
Rapture,docuseries,2018,rapture,Netflix
Sofía Niño de Rivera: Selección Natural,stand-up comedy,2018,sofa nio de rivera seleccin natural,Netflix
The Titan,"dramas, sci-fi & fantasy, thrillers",2018,the titan,Netflix
Trailer Park Boys,"classic & cult tv, crime tv shows, international tv shows",2018,trailer park boys,Netflix
Trailer Park Boys: Countdown to Liquor Day,"comedies, cult movies",2009,trailer park boys countdown to liquor day,Netflix
Trailer Park Boys: The Movie,"comedies, cult movies",2006,trailer park boys the movie,Netflix
Trump: An American Dream,docuseries,2018,trump an american dream,Netflix
James Acaster: Repertoire,"british tv shows, international tv shows, stand-up comedy & talk shows",2018,james acaster repertoire,Netflix
Birdshot,"dramas, international movies, thrillers",2016,birdshot,Netflix
"Game Over, Man!","action & adventure, comedies",2018,game over man,Netflix
Layla M.,"dramas, international movies",2016,layla m,Netflix
Paradox,"dramas, independent movies, music & musicals",2018,paradox,Netflix
Requiem,"british tv shows, international tv shows, tv dramas",2018,requiem,Netflix
Roxanne Roxanne,"dramas, music & musicals",2018,roxanne roxanne,Netflix
Secret Superstar,"dramas, international movies, music & musicals",2017,secret superstar,Netflix
The Standups,"stand-up comedy & talk shows, tv comedies",2018,the standups,Netflix
Benji,"children & family movies, dramas",2018,benji,Netflix
Edha,"international tv shows, spanish-language tv shows, tv dramas",2018,edha,Netflix
Take Your Pills,documentaries,2018,take your pills,Netflix
Wild Wild Country,"crime tv shows, docuseries",2018,wild wild country,Netflix
Yoo Byung Jae: Too Much Information,stand-up comedy,2018,yoo byung jae too much information,Netflix
In This Corner of the World,"anime features, children & family movies, international movies",2016,in this corner of the world,Netflix
Jag älskar dig: En skilsmässokomedi,"comedies, dramas, international movies",2016,jag lskar dig en skilsmssokomedi,Netflix
